186	51
124	131
189	143
191	74
141	122
144	68
138	53
225	113
173	74
181	122
193	57
133	47
176	75
188	82
137	104
183	52
192	68
212	56
175	54
186	92
197	106
225	66
125	73
150	155
184	61
135	75
221	64
134	77
161	132
121	127
216	137
207	147
206	120
157	121
195	68
132	51
193	72
139	90
176	122
199	46
207	76
193	117
194	131
180	99
132	68
137	66
166	138
145	127
200	92
217	59
147	143
189	153
137	126
191	54
181	119
176	67
206	123
223	77
184	71
150	100
167	145
193	46
200	142
128	108
140	137
194	76
210	100
142	62
134	60
162	63
219	130
189	121
214	129
188	77
131	143
151	72
195	60
177	83
150	153
180	136
195	110
219	117
171	87
150	138
225	107
168	84
140	84
121	143
180	147
199	137
157	100
164	113
156	66
188	139
145	153
123	82
161	64
205	50
189	112
183	128
143	76
120	63
166	76
225	105
160	87
123	53
188	48
128	71
169	47
120	71
207	148
144	73
215	148
222	82
196	114
187	131
220	137
161	62
143	58
205	63
154	155
169	140
177	55
179	116
193	134
210	61
182	107
212	88
186	52
187	61
223	113
208	105
174	84
190	95
136	73
129	69
156	145
219	97
137	76
168	99
215	98
191	74
192	131
191	123
210	141
181	107
132	106
222	59
190	65
180	107
183	149
188	141
223	144
209	152
154	94
128	102
175	119
218	88
158	126
131	74
148	141
194	58
199	53
177	119
182	100
220	148
122	96
196	89
159	118
190	151
157	133
184	55
122	144
171	118
137	47
127	49
189	137
173	111
126	132
186	67
130	79
188	72
157	124
208	59
187	60
193	105
176	100
165	118
162	133
128	55
148	133
198	135
160	65
191	150
197	68
198	113
133	59
163	137
196	59
165	132
